TimeStamp,ch4,ch6,ch7
6331.9226,-52977.09,-57890.61,-63122.52
6331.9266,-56184.25,-60334.83,-65897.76
6331.9306,-64332.49,-67037.16,-72826.49
6331.9346,-64799.22,-67613.42,-73107.2
6331.9386,-57235.2,-61506.04,-66657.74
6331.9426,-52921.4,-57839.35,-63057.53
6331.9466,-56094.56,-60243.95,-65796.53
6331.9506,-64295.06,-66979.03,-72787.06
6331.9546,-64830.17,-67614.66,-73134.53
6331.9586,-57252.37,-61520.39,-66667.28
6331.9626,-52875.1,-57809.98,-63024.86
6331.9666,-56016.07,-60182.91,-65747.55
6331.9706,-64248.62,-66934.69,-72756.49
6331.9746,-64850.15,-67628.3,-73152.79
6331.9786,-57233.2,-61494.45,-66657.27
6331.9826,-52583.7,-57578.38,-62770.23
6331.9866,-55112.65,-59492.69,-64966.88
6331.9905,-64289.58,-66912.52,-72803.27
6331.9945,-65962.42,-68425.0,-74103.6
6331.9985,-57332.0,-61591.73,-66718.82
6332.0025,-51402.86,-56712.59,-61747.75
6332.0065,-54309.42,-58848.67,-64290.01
6332.0105,-64345.99,-66893.78,-72849.66
6332.0145,-66225.68,-68612.87,-74300.49
6332.0185,-57312.92,-61588.72,-66667.66
6332.0225,-51230.01,-56567.2,-61589.11
6332.0265,-54209.0,-58737.19,-64206.42
6332.0305,-64489.94,-66972.07,-72976.55
6332.0345,-66434.3,-68750.68,-74486.12
6332.0385,-57353.17,-61617.1,-66713.29
6332.0425,-51123.63,-56493.34,-61497.5
6332.0465,-54091.6,-58649.17,-64091.88
6332.0505,-64503.25,-66974.7,-72981.94
6332.0545,-66584.74,-68862.45,-74606.14
6332.0585,-57435.42,-61683.95,-66772.8
6332.0625,-51109.22,-56488.0,-61468.94
6332.0665,-53964.43,-58543.64,-63962.71
6332.0705,-64373.69,-66853.39,-72855.0
6332.0745,-66648.83,-68886.0,-74655.83
6332.0785,-57715.42,-61871.39,-66995.82
6332.0825,-51383.64,-56679.68,-61684.47
6332.0865,-53961.43,-58539.02,-63952.07
6332.0905,-63865.76,-66463.19,-72419.7
6332.0945,-66276.61,-68576.77,-74342.69
6332.0985,-58124.74,-62139.14,-67360.36
6332.1025,-52392.11,-57414.01,-62562.0
6332.1065,-54830.51,-59204.01,-64689.36
6332.1105,-63469.61,-66225.25,-72052.06
6332.1145,-64849.15,-67535.36,-73097.29
6332.1185,-57211.98,-61410.77,-66557.03
6332.1225,-52410.18,-57364.14,-62536.68
6332.1265,-55250.27,-59482.87,-64997.87
6332.1305,-63734.63,-66410.36,-72227.82
6332.1345,-64935.22,-67597.59,-73129.33
6332.1385,-57259.18,-61442.62,-66567.24
6332.1425,-52457.15,-57392.56,-62556.08
6332.1465,-55256.33,-59475.62,-64975.03
6332.1505,-63677.84,-66362.72,-72148.57
6332.1545,-64921.29,-67595.11,-73089.66
6332.1585,-57331.76,-61507.28,-66604.48
6332.1625,-52538.97,-57454.45,-62617.74
6332.1665,-55239.4,-59458.93,-64976.6
6332.1705,-63558.4,-66262.83,-72073.8
6332.1745,-64886.86,-67559.35,-73103.34
6332.1785,-57389.89,-61534.51,-66698.37
6332.1824,-52582.56,-57483.68,-62684.07
6332.1864,-55222.09,-59444.91,-64978.23
6332.1904,-63506.42,-66226.11,-72038.99
6332.1944,-64874.94,-67547.14,-73089.08
6332.1984,-57396.47,-61540.71,-66691.88
6332.2024,-52563.1,-57462.03,-62652.64
6332.2064,-55153.42,-59383.16,-64905.51
6332.2104,-63405.14,-66130.98,-71940.86
6332.2144,-64855.3,-67515.24,-73055.13
6332.2184,-57407.96,-61528.17,-66679.2
6332.2224,-52555.04,-57432.9,-62627.28
6332.2264,-55086.29,-59306.58,-64827.83
6332.2304,-63340.86,-66062.7,-71868.76
6332.2344,-64862.83,-67504.84,-73052.13
6332.2384,-57462.89,-61558.06,-66717.87
6332.2424,-52565.63,-57430.8,-62621.12
6332.2464,-55036.69,-59265.24,-64774.43
6332.2504,-63304.1,-66020.31,-71821.17
6332.2544,-64915.38,-67529.97,-73081.6
6332.2584,-57513.29,-61585.96,-66740.85
6332.2624,-52585.23,-57440.86,-62614.26
6332.2664,-54997.78,-59222.28,-64711.91
6332.2704,-63247.16,-65973.62,-71749.51
6332.2744,-64938.79,-67546.04,-73082.74
6332.2784,-57562.12,-61619.81,-66775.14
6332.2824,-52575.17,-57428.27,-62599.0
6332.2864,-54946.76,-59177.41,-64664.18
6332.2904,-63204.39,-65927.56,-71705.73
6332.2944,-64961.35,-67562.97,-73078.35
6332.2984,-57577.57,-61645.61,-66761.69
6332.3024,-52572.78,-57442.15,-62592.04
6332.3064,-54935.56,-59166.44,-64662.18
6332.3103,-63181.65,-65908.87,-71701.15
6332.3143,-64962.35,-67572.36,-73115.88
6332.3183,-57600.93,-61676.7,-66829.98
6332.3223,-52570.78,-57450.49,-62636.53
6332.3263,-54873.04,-59134.44,-64652.07
6332.3303,-63081.37,-65844.5,-71658.57
6332.3343,-64925.87,-67550.0,-73127.37
6332.3383,-57600.51,-61678.37,-66867.31
6332.3423,-52558.95,-57446.2,-62658.08
6332.3463,-54805.33,-59094.2,-64622.84
6332.3503,-63012.66,-65807.06,-71623.19
6332.3543,-64926.11,-67562.87,-73143.82
6332.3583,-57633.65,-61717.57,-66902.69
6332.3623,-52556.38,-57442.58,-62659.41
6332.3663,-54756.5,-59044.27,-64585.79
6332.3703,-62950.57,-65735.87,-71575.84
6332.3743,-64946.23,-67562.97,-73165.57
6332.3783,-57673.75,-61739.74,-66926.11
6332.3823,-52548.27,-57432.85,-62654.03
6332.3863,-54695.8,-58988.58,-64537.96
6332.3903,-62887.29,-65689.14,-71526.25
6332.3943,-64931.02,-67553.96,-73163.95
6332.3983,-57679.61,-61740.02,-66957.58
6332.4023,-52520.76,-57414.4,-62647.64
6332.4063,-54638.06,-58940.99,-64492.66
6332.4103,-62824.45,-65622.91,-71471.8
6332.4143,-64948.95,-67556.77,-73170.53
6332.4183,-57694.82,-61743.79,-66951.14
6332.4223,-52504.78,-57384.45,-62608.49
6332.4263,-54567.15,-58868.84,-64404.69
6332.4303,-62779.29,-65570.89,-71402.37
6332.4343,-64985.14,-67564.69,-73159.32
6332.4382,-57721.1,-61757.67,-66926.82
6332.4422,-52449.61,-57347.69,-62507.68
6332.4462,-54462.73,-58785.21,-64259.63
6332.4502,-62980.13,-65702.88,-71534.59
6332.4542,-66332.97,-68563.18,-74296.77
6332.4582,-58266.27,-62231.5,-67358.93
6332.4622,-51026.68,-56359.63,-61266.67
6332.4662,-52486.04,-57313.64,-62574.73
6332.4702,-62741.24,-65452.01,-71349.39
6332.4742,-66885.72,-68951.14,-74734.79
6332.4782,-58285.29,-62263.07,-67338.52
6332.4822,-50739.87,-56149.2,-61006.27
6332.4862,-52167.28,-57057.48,-62287.1
6332.4902,-62581.55,-65298.52,-71189.94
6332.4942,-66861.92,-68915.95,-74698.79
6332.4982,-58180.43,-62174.42,-67222.89
6332.5022,-50603.06,-56038.34,-60849.86
6332.5062,-52040.92,-56944.81,-62142.9
6332.5102,-62472.64,-65197.38,-71072.78
6332.5142,-66838.08,-68877.32,-74650.58
6332.5182,-58234.08,-62194.64,-67236.43
6332.5222,-50684.51,-56071.57,-60886.49
6332.5262,-51999.24,-56887.92,-62079.48
6332.5302,-62151.3,-64940.08,-70763.74
6332.5342,-66529.0,-68629.61,-74364.1
6332.5382,-58506.5,-62367.3,-67459.35
6332.5422,-51479.16,-56652.27,-61555.97
6332.5462,-52668.24,-57410.44,-62632.28
6332.5502,-61957.7,-64839.8,-70582.21
6332.5542,-65854.75,-68140.47,-73788.75
6332.5582,-58288.82,-62188.2,-67280.01
6332.5622,-51735.22,-56819.83,-61781.65
6332.5661,-53024.58,-57670.65,-62940.18
6332.5701,-62025.79,-64903.84,-70635.14
6332.5741,-65659.96,-68012.91,-73616.85
6332.5781,-58243.42,-62157.35,-67240.53
